timestep,episodes,steps_per_second,expl_loss,avg_return,std_return,avg_aug_return,std_aug_return,avg_bonus,std_bonus,avg_episode_length,std_episode_length
96000,26267,1353.2985794621334,0.076341495,40.57197546005249,18.980929961263822,1129.852241973877,702.0558252412532,95.68530670166015,36.445952441677115,116.03,55.10471032498038
97000,26364,1418.750298088479,0.07410127,42.064142894744876,19.10801665052947,1235.2649780273437,738.5802831157612,102.15721549987794,39.59079863013641,125.61,59.68800465755242
98000,26464,1408.9724954507326,0.07352178,39.2688300037384,17.060046441355627,1224.874220123291,754.1163230497184,99.03876064300538,44.35993240357164,117.8,56.81126648825917
99000,26561,1344.1640620167857,0.065607995,41.81443250656128,18.73071241390308,1291.783062286377,774.7334108554095,102.64205261230468,39.293576524006724,124.28,59.52631014937849
100000,26659,1233.9381957683165,0.06631377,41.22777240753174,19.536434364510463,1193.083343963623,811.5737224585866,99.07344867706298,41.0971582602856,118.27,57.413736161305515
101000,26756,1151.9439636633888,0.08383131,42.84641775131226,19.317423852711435,1323.3689706420898,807.383950737592,104.968044090271,38.962015386415715,126.25,58.33667371388259
102000,26847,1078.016634282248,0.09555113,45.054171295166014,17.259465367351975,1354.3324714708328,692.0027936696322,109.25821224212646,36.79781043004346,131.99,52.48190068966633
103000,26934,1044.1919600557062,0.072428204,45.96935382843017,20.084432985801918,1487.4120880889893,836.3826607953222,114.71551906585694,44.794240758558935,138.03,62.68962513845493
104000,27011,1030.843684647613,0.064375944,53.43002244949341,21.19395723086075,1810.1291412353517,898.3083157627035,131.6207875061035,43.405128729350295,160.51,65.44852863128399
105000,27096,1194.9689584153023,0.089412406,47.36329490661621,20.61034898532187,1544.4578536987306,879.8971334827322,117.73847957611083,42.517278311742956,142.3,65.20605800077168
106000,27185,1173.2929321637434,0.067893505,46.50743637084961,19.642022493416693,1492.0108259582519,833.4278223579357,114.89849945068359,40.28599974373862,138.39,61.66828925793224
107000,27273,1290.599155848092,0.06475996,44.77614128112793,20.386728586254034,1450.6633493041993,868.7509975876111,112.31954425811767,41.90939250912511,133.46,62.76167939116989
108000,27368,1479.2797692293314,0.06505682,44.67119132995605,20.13887917109146,1409.5766438293458,823.6624664197151,110.5548450088501,41.324557342521366,132.21,61.89301980029736
109000,27461,1419.531047198863,0.07670936,43.147777004241945,19.474454747556276,1356.3978271484375,795.9355341717438,106.47911235809326,39.66111278751528,128.31,59.51297253540609
110000,27554,1383.2420857673255,0.079074495,40.86188539505005,17.540614089701357,1283.1938932800292,741.2009315081065,102.31626579284668,39.45491470795409,121.52,56.49592551680166
111000,27653,1214.2501058121713,0.07803795,42.018440647125246,16.58874225771837,1278.1173948669434,685.9994468242314,100.7468072128296,35.80913497183436,120.64,50.32107312051284
112000,27746,1198.2195416756774,0.05718833,46.546865234375,20.35959264689492,1441.2172241210938,828.9877545990113,113.14251132965087,40.81419092998481,136.65,62.652912941059654
113000,27845,1362.749344098511,0.0643706,42.213490409851076,19.1559413324218,1329.817963256836,763.801978036955,102.93933952331543,39.232668683294186,121.48,55.40044765162101
114000,27933,1313.279252944175,0.06588332,47.03172105789184,20.8465274991698,1471.9365700531007,808.2762773722118,112.4634564590454,37.64819119649179,133.82,60.41264437185315
115000,28052,1315.6376066917626,0.08292577,33.279093494415285,13.027723651163509,919.3870581054688,522.5355725816871,79.79825607299804,30.91381358493404,93.1,40.293299691139715
116000,28141,1207.9443222379853,0.13071631,45.65389791488647,20.719396300770587,1441.956520690918,886.3787782938122,111.20645393371582,40.5370372111697,132.73,63.21911973446009
117000,28238,1442.4325752914833,0.08540186,43.78773986816406,17.909492102474985,1366.6197924804687,701.9765191073329,105.77974056243896,38.00080461393976,125.86,53.8722600231325
118000,28329,1325.1730830536421,0.0754605,45.10769565582275,22.095996549081374,1436.1987609863281,872.6405374771037,107.62713272094726,40.05039503278169,129.26,63.652905668162546
119000,28414,1314.4967133696,0.073338844,48.04334810256958,21.166211512287678,1525.359555053711,833.8220570447204,116.50693878173828,39.8824426515887,138.02,61.27168677292963
120000,28505,1329.5130828996246,0.07567049,45.88673049926758,20.833454579288045,1399.9393188476563,854.2255070845484,109.44528018951416,42.01427336617492,129.23,59.94761963581206
121000,28577,1113.9554370444341,0.05300115,56.00298315048218,23.436885931293965,1829.2052059936523,909.429397329523,133.40777973175048,43.72357024374356,160.86,66.26190760912336
122000,28663,1195.4716740207264,0.10163715,51.64132049560547,21.15728065324332,1602.3227465820312,821.6270220009043,123.39935554504395,42.13071086899614,146.53,60.00074249540584
123000,28752,1128.456926821617,0.057956528,49.80495641708374,22.095068898342234,1570.0499606323242,832.5890105979612,118.05696605682373,41.76023940101317,141.01,61.24124345569739
124000,28845,1159.4203539541688,0.07248745,45.06731384277344,18.814304203854046,1451.721180782318,769.2144156384031,110.4077433013916,39.3286648558412,129.93,55.257624813232795
125000,28935,244.48991785349446,0.058433834,44.555261306762695,20.190169281497326,1399.5720175170898,786.1931428043463,109.2094040298462,39.623590755364425,127.23,57.29761862416273
126000,29025,1390.3602707989485,0.07067356,47.71627029418946,22.110539963171515,1487.3301727294922,841.7327561267155,115.80049625396728,42.55315513034702,136.96,62.51158612609346
127000,29110,1291.5863589543035,0.057887457,49.00673504829407,23.710362348889955,1488.466413269043,844.8873114361832,116.49775047302246,41.017654573382686,140.49,67.54783416216985
128000,29188,1161.6118702921988,0.09800677,51.614366102218625,23.456547464383625,1601.4063201904296,873.4547305005516,122.12147773742676,42.50751110143614,145.31,64.84330266110757
129000,29265,1192.0963544220187,0.08266549,56.057342796325685,23.211589268513052,1782.149979248047,841.0250548259668,131.36368865966796,44.53055427958764,158.59,63.53803506562034
130000,29347,1262.5684029787712,0.07406821,51.88237602233887,20.854534544427878,1667.0746264648437,819.2515577122017,122.25927017211914,42.441290725249765,147.31,59.41728620527868
131000,29434,1219.9031652069511,0.07412667,48.28589788436889,21.845104347475154,1514.5225490188598,871.0445743906839,115.16148738861084,42.77570149085965,136.0,61.160117723889314
132000,29512,1231.5154675529177,0.07455748,54.00356185913086,23.554194210713607,1656.523033027649,907.0669043276639,125.06501251220703,44.3121611717275,149.74,65.09587083678964
133000,29594,1235.0856693920603,0.073176354,52.87296436309814,23.10662600801557,1646.3564505004883,857.7304611855917,124.68473388671875,41.98265264648296,147.36,62.610305860936336
134000,29677,1384.4721282125001,0.12337589,50.98405225753784,22.333288864591115,1616.3519506835937,856.9625902687047,121.43901035308838,43.48700407650125,144.22,63.077346171188914
135000,29762,1193.2450270836177,0.07240549,47.852813997268676,21.998914805778494,1497.291911201477,833.9735921942179,115.28616718292237,42.787808377816646,136.42,61.663470547804884
136000,29850,1248.5585611599024,0.08242938,48.63612916946411,19.882126933494334,1544.5005121612548,816.0696709613665,116.97574188232421,38.40950867614908,138.35,56.557293959311735
137000,29931,1159.667829291794,0.07086548,49.595436592102054,21.20484113419188,1614.566868057251,866.3735555581101,122.09890209197998,42.76649795476068,143.34,61.73786844392994
138000,30009,1160.3367333106485,0.077723525,53.037961912155154,22.605865503203,1744.4765969848634,896.3887195349026,127.39352848052978,43.951633251796665,150.95,63.62898317590813
139000,30090,1279.8839948893792,0.06484454,51.88310671806335,22.672649961112413,1703.960433959961,919.7913675037275,124.68663219451905,44.00835763115058,147.11,64.08227446025928
140000,30175,1455.6439074230377,0.07132537,51.99041038513184,20.869511483344702,1684.574829864502,862.3521354098523,124.63817317962646,40.71409996103347,146.83,59.50900015963972
141000,30258,1096.786053574403,0.050132774,50.3264058303833,21.095389233994865,1612.656301689148,874.8557531539063,120.46402442932128,39.80188482963497,141.51,59.401093424279665
142000,30338,1220.0614291602635,0.103987925,52.377162065505985,20.856563746132476,1716.55806640625,863.1091792473752,124.58308151245117,41.77100816799499,147.6,59.514199986221776
